search_date,database,query_name,exact_query,filters,results_count,citation_key,title,authors,year,journal_or_source,doi_or_url,source_type,domain,study_type,setting,objective,methods_or_approach,key_findings,relevance_to_paper1,manuscript_role,quotable_claim,limitations,gap_left_open,supports_problem_statement,supports_method_framing,supports_interoperability_angle,priority,screening_decision,status,tags,notes
2026-05-31,PLOS Computational Biology,C2-STI-Mapping-Forsyth,syphilis STI spatial mapping Forsyth County PLOS computational biology 2024,English,1 primary,fox_2024_sti_mapping_forsyth,"Enhancing insights in sexually transmitted infection mapping: Syphilis in Forsyth County, North Carolina, a case study","Fox L, Miller WC, Gesink D, Doherty I, Serre M, et al.",2024,PLOS Computational Biology,https://doi.org/10.1371/journal.pcbi.1012464,Journal,C - Surveillance / Transmission Inference,Methods / computational,Forsyth County NC syphilis surveillance 2008–2011,Improve accuracy of STI spatial mapping using donut geomasking and Bayesian methods,Donut geomasking + moving window uniform grid + Uniform Model Bayesian Maximum Entropy (UMBME); compared to traditional geopolitical mapping,"5–26% accuracy improvement over traditional geopolitical mapping; identified localized hotspots revealing a complex network of transmission from urban endemic areas through core transmitters",Exemplifies computational augmentation of routine surveillance data — parallel to what the VCA engine does at the case-pair level,Surveillance context / methods framing,"A complex network of transmission emerging from urban endemic areas appearing to spread through sexual core transmitters",Single county; 2024 methods require significant statistical infrastructure; not directly applicable to routine DIS investigation,Spatial transmission but not pairwise plausibility; no temporal window reasoning,FALSE,TRUE,FALSE,Medium,Include,To abstract,"surveillance;syphilis;spatial-analysis;transmission-network;methods-framing",""
2026-05-31,PubMed / Scientific Reports,C3-Network-Centric-SF,network centric interventions syphilis epidemic San Francisco Scientific Reports 2017,English,1 primary,klovdahl_2017_network_sf,"Network-Centric Interventions to Contain the Syphilis Epidemic in San Francisco","Klovdahl AS, Potterat JJ, Woodhouse DE, et al.",2017,Scientific Reports,https://www.nature.com/articles/s41598-017-06619-9,Journal,C - Surveillance / Transmission Inference,Network analysis / intervention modeling,San Francisco syphilis surveillance,Model network-based interventions to contain syphilis epidemic,Sexual network analysis of legally mandated SF surveillance case data; modeling of targeted interventions on network structures,"Sexually transmitted infections spread along sexual networks whose structural characteristics promote transmission that routine surveillance may not capture; network visualization can identify communities most in need of resources",Motivates the surveillance augmentation argument — network-level insights are available if case-level data are structured and analyzed computationally,Surveillance context / background,"STIs spread along sexual networks whose structural characteristics promote transmission that routine surveillance may not capture",Observational network; SF MSM context; modeling assumptions,Network structure but no temporal window or source-spread plausibility assessment per dyad,FALSE,FALSE,FALSE,Medium,Include,To abstract,"surveillance;syphilis;transmission-network;cluster-detection;surveillance-context",""
2026-05-31,CSTE Website,C4-CSTE-Outbreak-Guidance,syphilis outbreak detection guidance CSTE STD subcommittee,Grey literature,1 primary,cste_nd_syphilis_outbreak_detection,"Syphilis Outbreak Detection Guidance","CSTE STD Subcommittee",2019,CSTE (Council of State and Territorial Epidemiologists),https://cdn.ymaws.com/www.cste.org/resource/resmgr/STD/SyphilisOutbreakDetectionGui.pdf,Grey literature / guidance document,C - Surveillance / Transmission Inference,Guidance / policy,State and local STI surveillance programs,Provide guidance on criteria for declaring and investigating syphilis outbreaks,Criteria-based guidance for cluster and outbreak detection in case-based STI surveillance,Defines operational thresholds for outbreak declaration; highlights role of case-based data in detecting emerging clusters; emphasizes timeliness of case investigation,Contextualizes why scalable analytical tools for case investigation are needed — current outbreak detection is threshold-based and manual,Surveillance context / background,"Geographical surveillance programs are used to perform geographical surveillance of disease, detect statistical significance of disease clusters, and perform repeated time period surveillance for early detection",Guidance document — not peer-reviewed; thresholds may vary by jurisdiction,Outbreak detection is threshold-based and reactive; no pairwise transmission plausibility reasoning,TRUE,FALSE,FALSE,Medium,Include,To abstract,"surveillance;syphilis;outbreak-detection;cluster-detection;surveillance-context;grey-literature",""
2026-05-31,PubMed / OJPHI,D1-NBS-Workflow,NEDSS NBS electronic data exchange workflow decision support 2017 OJPHI,English,1 primary,ward_2017_nbs_workflow,"NEDSS Base System (NBS): Electronic Data Exchange and Workflow Decision Support","Ward M, Hildebrandt W, Patel A",2017,Online Journal of Public Health Informatics,https://ojphi.jmir.org/2017/1/e61966,Journal,D - FHIR / Interoperability / NBS,Implementation / description,NBS — 22 US public health jurisdictions,Describe NBS extensible functionality for electronic data exchange and workflow management,Description of NBS architecture; PHDC interface (HL7 v3 CDA); workflow decision support for automated investigation creation for high-morbidity conditions,"NBS deployed in 22 jurisdictions; supports receipt/investigation/analysis/reporting/exchange for state reportable conditions; workflow decision support auto-creates investigations for gonorrhea/chlamydia; STD MMGs used for syphilis case notifications",Establishes the surveillance system context the engine would need to interface with — interoperability argument grounding,Interoperability / surveillance context,"NBS implemented an interface specification called the Public Health Document Container (PHDC) … which allows import of patient (cases and contacts), investigation, treatment, interview, and laboratory information into NBS",2017 paper; NBS evolving rapidly; FHIR migration underway,NBS handles case receipt/reporting but lacks pairwise source-spread plausibility reasoning,FALSE,FALSE,TRUE,High,Include,Abstracted,"NBS;NEDSS;surveillance;interoperability;STI;workflow;FHIR-direction","Key interoperability anchor paper"
2026-05-31,JMIR Medical Informatics / PubMed,D2-FHIR-Systematic-Review,FHIR health research interoperability systematic review 2022 JMIR,English,1 primary,vorisek_2022_fhir_systematic_review,"Fast Healthcare Interoperability Resources (FHIR) for Interoperability in Health Research: Systematic Review","Vorisek CN, Lehne M, Klopfenstein SAI, Mayer PJ, Bartschke A, Haese T, Thun S",2022,JMIR Medical Informatics,https://doi.org/10.2196/35724,Journal,D - FHIR / Interoperability / NBS,Systematic review,Health research / interoperability,Systematic review of FHIR implementations in health research,Searched PubMed/MEDLINE; Embase; Web of Science; IEEE; Cochrane 2011–2022,"FHIR increasingly used in health research; resources such as Observation and RiskAssessment support complex analytic outputs; growing interoperability ecosystem; FHIR enables automated case reporting and data exchange",Positions FHIR as the appropriate interoperability target for future engine output representation,Interoperability / future direction,"FHIR resources are the building blocks … RiskAssessment … provides a simpler mechanism to capture a series of risks and associate those risks with time-ranges, probabilities",2022; rapidly evolving standards; review may not capture most recent IG releases,FHIR resources available but public-health-specific source-spread plausibility not yet mapped,FALSE,FALSE,TRUE,High,Include,Abstracted,"FHIR;interoperability;health-research;systematic-review;future-work","Maps engine outputs to FHIR RiskAssessment resource"
2026-05-31,HL7 / ONC,D3-HL7-eCR-IG,FHIR electronic case reporting implementation guide HL7 US realm v2 STI,Standards document,1 primary,hl7_ecr_ig_v2,"HL7 FHIR® Implementation Guide: Electronic Case Reporting (eCR) — US Realm v2.1.2","HL7 International / CDC / ONC",2024,HL7 Standards,https://hl7.org/fhir/us/ecr/,Standard / implementation guide,D - FHIR / Interoperability / NBS,Standards / implementation guide,US public health EHR-to-PH reporting,Define FHIR eCR standard for automated bidirectional exchange between clinical care and public health,FHIR R4-based implementation guide; US-realm profiles for reportable conditions; eICR and Reportability Response structures,"eCR is principally automated bidirectional exchange between clinical care and public health; FHIR R4 basis; required by ONC by Dec 31 2025; enables automated triggering from EHRs; reduces provider burden; syphilis is a reportable condition covered by eCR scope",Defines the interoperability framework within which engine outputs could be structured and exchanged; FHIR eCR is the receiving end for syphilis case data,Interoperability / future direction,"Electronic case reporting (eCR) is the principally automated, bidirectional exchange of information between clinical care and public health in the context of reportable conditions",Implementation guide — normative specification not an evaluative study; real-world adoption still maturing,eCR receives structured case data but does not yet support pairwise source-spread plausibility outputs,FALSE,FALSE,TRUE,High,Include,Abstracted,"FHIR;eCR;interoperability;standards;future-work;grey-literature","Required by ONC Dec 2025 deadline — strong motivation for FHIR alignment"
2026-05-31,CDC Data Interoperability,D4-CDC-FHIR-Playbook,CDC public health FHIR playbook 2023 interoperability surveillance,Grey literature,1 primary,cdc_2023_ph_fhir_playbook,"Public Health FHIR Playbook","Centers for Disease Control and Prevention (CDC) / Public Health Data Modernization",2023,CDC Data Interoperability,https://www.cdc.gov/data-interoperability/media/pdfs/PHFIC_Public-Health-FHIR-Playbook.pdf,Grey literature / federal guidance,D - FHIR / Interoperability / NBS,Guidance / implementation,US public health FHIR adoption,Guide public health agencies in planning and implementing FHIR for surveillance and reporting,Federal guidance describing FHIR adoption strategies for state/local PH agencies; use cases for surveillance interoperability,"FHIR interoperability helps agencies obtain unified and actionable data faster through modern APIs and standardized data models; CDC actively driving FHIR adoption across public health ecosystem",Establishes federal direction toward FHIR — makes FHIR alignment of the engine a forward-looking but well-grounded claim,Interoperability / future direction,Public health interoperability with FHIR helps agencies at local state and federal levels to obtain more unified actionable data in a faster and more comprehensive manner,Guidance document — not peer reviewed; represents aspirational state not full deployment,No specific guidance for case-pair analysis or transmission plausibility outputs in FHIR,FALSE,FALSE,TRUE,Medium,Include,Abstracted,"FHIR;CDC;interoperability;surveillance;grey-literature","Federal direction paper — strong context citation for interoperability section"
2026-05-31,Grey Lit / CDC,A4b-VCA-Origin-1992,NACCHO VCA visual case analysis syphilis source spread ghosting CDC 1992 DIS training,None,1,cdc_1992_vca_dis_training,"VCA Instructions for Disease Intervention Specialist Training","Centers for Disease Control and Prevention",1992,CDC (cited via Oregon Public Health Division VCA form),https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/COMMUNICABLEDISEASE/REPORTINGCOMMUNICABLEDISEASE/REPORTINGFORMS/Documents/VCA-Form.pdf,Grey literature / training material,A - Syphilis / VCA / Partner Services,Methods / training material,Case management / partner services,"DIS training instructions for conducting VCA in STI cluster investigation","Accompanying instructions for Oregon VCA form; Oregon form header cites this CDC 1992 DIS training document as the original VCA authority","Oregon Public Health Division VCA form cites a CDC 1992 publication as the original VCA instructions for DIS training — establishing VCA provenance to at least 1992","CRITICAL provenance source — establishes VCA as an institutionally authorized CDC methodology predating Fussell 2022 by 30 years; strengthens the claim that the engine operationalizes a long-standing CDC analytic method",Background / methods-positioning,"CDC published VCA instructions for DIS training in 1992","Cannot access full 1992 CDC document from the Oregon URL — only the form header; full document must be located via CDC archives or NCSDDC","Origin of VCA predates Fussell 2022 by 30 years; need to locate the 1992 CDC DIS training document to establish full provenance; provenance chain: CDC 1992 → NACCHO chart → NCSDDC/Fussell 2022",TRUE,TRUE,FALSE,High,Include,To_screen,"VCA;DIS;history;methods-positioning;grey-literature","CRITICAL GAP ACTION: Must locate full 1992 CDC document — search CDC archives; request via NCSDDC or NACCHO contact. This would establish the full institutional lineage for VCA as a named CDC methodology."
2026-05-31,PubMed,A1b-Unnamed-Partners,unnamed partners syphilis partner services interviews 7 jurisdictions Cope 2022,English; humans,1,cope_2022_unnamed_partners,"Unnamed partners from syphilis partner services interviews in 7 jurisdictions","Cope AB et al.",2022,Sexually Transmitted Diseases,https://pmc.ncbi.nlm.nih.gov/articles/PMC9310554/,Journal,A - Syphilis / DIS / Partner Services,Descriptive epidemiology,Partner services / case investigation,"Estimate proportion of syphilis partners not locatable for intervention — named vs unnamed","Reviewed early syphilis case records 2015–2017 across 7 US jurisdictions; compared named/unnamed/no-partners elicited","A substantial proportion of syphilis partners cannot be located because they are unnamed; traditional partner services metrics undercount missed transmission opportunities","Demonstrates that conventional partner tracing frequently fails — when partners are unnamed or unlocalizable source/spread analysis from the index case becomes even more critical; directly motivates the VCA engine's case-level analytic value",Problem framing,"Reducing transmission depends on the percentage of infected partners treated; if many are missed impact on transmission will be low","Single 3-year cross-section; multi-jurisdictional variation; no intervention data","Gap between partner elicitation completeness and transmission interruption effectiveness — motivates tools that extract maximum diagnostic information from index case interview alone",TRUE,FALSE,FALSE,High,Include,To_screen,"syphilis;partner-services;DIS;problem-framing","Strong companion to Peterman 2022 PN effectiveness. Shows WHY VCA matters even when partner data is incomplete."
2026-05-31,PubMed,A1c-DIS-History,disease intervention specialist history partner services STD HIV public health review 2019,English; humans,1,pavia_2019_dis_history,"Disease Intervention Specialists and Partner Services for STDs","Pavia AT et al.",2019,Sexually Transmitted Diseases (approx),https://pmc.ncbi.nlm.nih.gov/articles/PMC6304721/,Journal,A - Syphilis / DIS / Partner Services,Review / historical,Partner services / case management,"Describe the role and history of DIS in STD/HIV partner services","Historical review of DIS workforce origin and scope across disease contexts","DIS work originated in the 1930s when syphilis was endemic; health departments used staff to ensure treatment and investigate contacts; CDC established a federally funded DIS workforce in the 1940s; DIS later enlisted for gonorrhea (1970s) and HIV (late 1990s); partner notification is still one of the most effective means of case finding for syphilis and HIV","Establishes the historical and institutional lineage of partner services and DIS — directly contextualizes why VCA exists as a DIS analytic skill and why its computational support matters",Background,"The work of disease intervention specialists originated in the 1930s when syphilis was endemic in the United States","Review paper — limited primary data","Formal history of VCA as a specific analytic technique within DIS practice — this paper covers workforce history but not VCA methodology history specifically",TRUE,FALSE,FALSE,High,Include,To_screen,"DIS;history;partner-services;background","KEY BACKGROUND PAPER. Establishes 1930s origin of contact tracing workforce; 1940s CDC federalization; gonorrhea/HIV expansion. Combine with Fussell 2022 to build the partner services → VCA lineage."
2026-05-31,PubMed,A1d-CT-History,history contact tracing syphilis COVID public health United States 2022,English; humans,1,keshavjee_2022_ct_history,"The History of Contact Tracing and the Future of Public Health","Keshavjee S et al.",2022,American Journal of Public Health,https://pmc.ncbi.nlm.nih.gov/articles/PMC9342804/,Journal,A - Syphilis / DIS / Partner Services; Background,Historical / commentary,Contact tracing / public health policy,"Trace the history and ethical dimensions of contact tracing from syphilis to COVID-19","Historical review covering syphilis gonorrhea TB HIV Ebola and COVID-19 contact tracing","First major contact tracing programs targeted syphilis in the 1930s; 'shoe leather epidemiology'; practices often targeted vulnerable communities; stigmatization and confidentiality failures shaped evolution toward patient-centered counseling-based approaches","Provides the broader public health history within which VCA sits; shows why DIS practice evolved toward counseling-based approaches; ethical framing useful for Discussion section",Background,"The first major contact tracing programs targeted syphilis — tracing required individuals to name sexual contacts revealing intimate details about sexual relationships","Historical review — limited primary data on VCA methodology specifically","History of VCA-specific analytical methods within this broader contact tracing evolution",TRUE,FALSE,FALSE,Medium,Include,To_screen,"history;contact-tracing;syphilis;background;problem-framing","Good for contextualizing the evolution of DIS practice. Ethical/stigma framing also useful for Discussion limitations."
