search_date,database,query_name,exact_query,filters,results_count,citation_key,title,authors,year,journal_or_source,doi_or_url,source_type,domain,study_type,setting,objective,methods_or_approach,key_findings,relevance_to_paper1,manuscript_role,quotable_claim,limitations,gap_left_open,supports_problem_statement,supports_method_framing,supports_interoperability_angle,priority,screening_decision,status,tags,notes
2026-05-31,PLOS Computational Biology,C2-STI-Mapping-Forsyth,"syphilis STI spatial mapping Forsyth County PLOS computational biology 2024","English",1,fox_2024_sti_mapping_forsyth,Spatiotemporal Mapping of Syphilis and STI Burden in Forsyth County,"Fox MP et al.",2024,PLOS Computational Biology,https://doi.org/10.1371/journal.pcbi.1012464,Journal,C — Surveillance/Transmission,Methods / Surveillance,STI spatial analytics,,,,Recent spatiotemporal surveillance analytics; supports argument for computational tools in STI investigation,surveillance-context,,,,FALSE,FALSE,FALSE,Medium,Included,To abstract,"syphilis; surveillance; spatial-analytics; surveillance-context",
2026-05-31,"Scientific Reports / PubMed",C3-Network-Centric-SF,"network centric interventions syphilis epidemic San Francisco 2017","English",1,klovdahl_2017_network_sf,Network-Centric Interventions to Stem a Syphilis Epidemic,"Klovdahl AS et al.",2017,Scientific Reports,PMC5527084,Journal,C — Surveillance/Transmission,Methods / Intervention,Syphilis epidemic network analysis,,,,Social network approach to syphilis; contrasts node-level (index-case VCA) with network-level analytics,comparison,,,,FALSE,FALSE,FALSE,Medium,Included,To abstract,"syphilis; transmission-network; social-network; comparison",
2026-05-31,CSTE Website,C4-CSTE-Outbreak-Guidance,"syphilis outbreak detection guidance CSTE STD subcommittee","Grey literature",1,cste_outbreak_guidance,Syphilis Outbreak Detection Guidance,"CSTE STD Subcommittee",2019,CSTE,,Grey lit,C — Surveillance/Transmission,Guidance,STI outbreak surveillance,,,,Defines outbreak detection thresholds; positions the engine as a complement to surveillance-level detection,surveillance-context,,,,FALSE,FALSE,FALSE,Medium,Included,To abstract,"syphilis; outbreak-detection; surveillance; surveillance-context",Approximate year; verify on CSTE website
2026-05-31,"OJPHI / PubMed",D1-NBS-Workflow,"NEDSS NBS electronic data exchange workflow decision support 2017 OJPHI","English",1,ward_2017_nbs_workflow,National Electronic Disease Surveillance System: Workflow and Decision Support,"Ward M, Hildebrandt C, Patel P",2017,Online Journal of Public Health Informatics,PMC5462203,Journal,D — FHIR/Interoperability,Implementation,NBS / NEDSS workflow,,,,Describes the NBS/NEDSS workflow the engine would interface with; grounds the interoperability discussion,interoperability-context,,,,FALSE,FALSE,TRUE,High,Included,To abstract,"NBS; NEDSS; interoperability; surveillance; interoperability-context",
2026-05-31,JMIR Medical Informatics,D2-FHIR-Systematic-Review,"FHIR health research interoperability systematic review 2022","English",1,vorisek_2022_fhir_systematic_review,Fast Healthcare Interoperability Resources for Health Research: Systematic Review,"Vorisek CN et al.",2022,JMIR Medical Informatics,https://doi.org/10.2196/35724,Journal,D — FHIR/Interoperability,Systematic Review,FHIR in health research,,,,Systematic review of FHIR use in research/public health; positions the FHIR interoperability direction with broad evidence base,interoperability-context,,,,FALSE,FALSE,TRUE,High,Included,To abstract,"FHIR; interoperability; systematic-review; interoperability-context",
2026-05-31,"HL7 / ONC",D3-HL7-eCR-IG,"FHIR electronic case reporting implementation guide US realm v2","Standards",1,hl7_ecr_ig,HL7 FHIR Electronic Case Reporting US Realm Implementation Guide v2.1.2,"HL7",2023,HL7 / ONC,https://hl7.org/fhir/us/ecr/,Standard,D — FHIR/Interoperability,Standard,Electronic case reporting,,,,The eCR IG is the primary interoperability pathway for case reporting to CDC/NNDSS; defines the output format for future engine integration,interoperability-context,,,,FALSE,FALSE,TRUE,High,Included,To abstract,"FHIR; eCR; interoperability; case-reporting; interoperability-context",
2026-05-31,CDC Data Interoperability,D4-CDC-FHIR-Playbook,"CDC public health FHIR playbook 2023","Grey literature",1,cdc_2023_fhir_playbook,Public Health FHIR Playbook,"CDC",2023,CDC,,Grey lit,D — FHIR/Interoperability,Guidance,CDC FHIR strategy,,,,CDC's operational FHIR implementation guidance; frames the engine's interoperability potential in a CDC-aligned context,interoperability-context,,,,FALSE,FALSE,TRUE,High,Included,To abstract,"FHIR; CDC; interoperability; playbook; interoperability-context",
2026-05-31,"NCSDDC / Grey lit (Session 2)",A4b-VCA-Origin-1992,"NACCHO VCA visual case analysis syphilis source spread ghosting CDC 1992 DIS training","None",1,cdc_1992_vca_dis_training,Visual Case Analysis: Disease Intervention Specialist Training,"CDC",1992,CDC Training Materials,,Grey lit,A — Syphilis/DIS/VCA,Methods / Training,VCA DIS training,,,,Primary provenance source for VCA ghosting methodology; establishes CDC origin of the method the engine operationalizes,background,,,,TRUE,TRUE,FALSE,High,Included,Not located — critical,"VCA; ghosting; CDC; DIS; background","CRITICAL ACTION: Full document not yet located. Cited via Oregon PH Division VCA form. Contact CDC archives / NCSDDC / NACCHO directly."
2026-05-31,"PubMed (Session 2)",A1b-Unnamed-Partners,"unnamed partners syphilis partner services 7 jurisdictions Cope 2022","English",1,cope_2022_unnamed_partners,Unnamed Partners in Syphilis Partner Services — Seven US Jurisdictions,"Cope AB et al.",2022,Sexually Transmitted Diseases,PMC9310554,Journal,A — Syphilis/DIS/VCA,Evaluation,Partner services / unnamed partners,,,,Directly motivates index-case-level VCA analysis; unnamed partners are precisely the gap the engine addresses,problem-framing,,,,TRUE,FALSE,FALSE,High,Included,To abstract,"syphilis; unnamed-partners; partner-services; problem-framing",
2026-05-31,"PubMed (Session 2)",A1c-DIS-History,"disease intervention specialist history partner services STD HIV review","English",1,pavia_2019_dis_history,History and Evolution of Disease Intervention Specialists in Partner Services,"Pavia AT et al.",2019,Sexually Transmitted Diseases,PMC6304721,Journal,A — Syphilis/DIS/VCA,Review / History,DIS workforce history,,,,DIS history from 1930s and 1940s CDC federalization; essential for the background section on VCA's workforce context,background,,,,TRUE,FALSE,FALSE,High,Included,To abstract,"DIS; history; partner-services; background",
2026-05-31,"PubMed (Session 2)",A1d-CT-History,"history contact tracing syphilis COVID public health United States 2022","English",1,keshavjee_2022_ct_history,History of Contact Tracing from Syphilis to COVID-19,"Keshavjee S et al.",2022,American Journal of Public Health,PMC9342804,Journal,A — Syphilis/DIS/VCA,Review / History,Contact tracing history,,,,Historical arc from syphilis contact tracing to modern practice; contextualizes VCA within longstanding PH tradition,background,,,,TRUE,FALSE,FALSE,Medium,Included,To abstract,"contact-tracing; history; syphilis; background",
2026-05-31,"Google Scholar (Session 2)",A2b-Lot-System-History,"source spread syphilis transmission methodology contact tracing history Havlak lot system","None",1,rothenberg_2003_social_network,Social Networks and Syphilis Transmission: Intellectual Precursors to Visual Case Analysis,"Rothenberg R et al.",2003,Springer / Book Chapter,PMC7121135,Book chapter,A — Syphilis/DIS/VCA,Methods / History,STD transmission network analysis,,,,Havlak 1960s lot system as direct intellectual precursor to VCA cluster reasoning; anchors the methodology's lineage,background,,,,TRUE,FALSE,FALSE,Medium,Included,To abstract,"social-network; lot-system; syphilis; transmission; background",
2026-05-31,"Google Scholar (Session 2)",C2b-Syphilis-Resurgence,"syphilis epidemiological trends United States resurgence 2018-2022","English",1,rankin_2025_syphilis_trends,Syphilis Epidemiological Trends in the United States 2018–2022,"Rankin DA et al.",2025,BMC Infectious Diseases,PMC12427103,Journal,C — Surveillance/Transmission,Surveillance / Epidemiology,US syphilis trends,,,,80% resurgence 2018–2022; essential recent surveillance anchor — establishes urgency and scale of the problem the engine addresses,problem-framing,,,,TRUE,FALSE,FALSE,High,Included,To abstract,"syphilis; surveillance; epidemiology; resurgence; problem-framing",
2026-05-31,"PubMed (Session 2)",A2c-DIS-Embedded,"DIS embedding HIV clinics syphilis partner services effectiveness Golden 2010","English",1,golden_2010_dis_embedded,Effectiveness of Disease Intervention Specialist Integration in HIV Clinical Settings,"Golden MR et al.",2010,Sexually Transmitted Diseases,PMC6785747,Journal,A — Syphilis/DIS/VCA,Evaluation,DIS integration / HIV clinics,,,,Lower-priority supporting citation for DIS embedding effectiveness; may support discussion section,background,,,,TRUE,FALSE,FALSE,Low,Included,To abstract,"DIS; HIV; partner-services; background",
2026-06-07,"CDC / MMWR / PubMed",B5-CDC-STI-Guidelines-2021,"Workowski syphilis STI treatment guidelines 2021 MMWR natural history constants","English; Federal guidelines",1,workowski_2021_sti_guidelines,Sexually Transmitted Infections Treatment Guidelines 2021,"Workowski KA, Bachmann LH, Chan PA, Johnston CM, Muzny CA, Park I, Reno H, Zenilman JM, Bolan GA",2021,MMWR Recommendations and Reports,"https://doi.org/10.15585/mmwr.rr7004a1 | PMID:34292926 | PMCID:PMC8343983",Report,B — PHI/Decision Support,Guidelines,Syphilis clinical management,,,"Primary syphilis incubation 10–90 days; chancre persists 2–6 weeks; secondary onset 2–24 weeks after primary lesion heals; secondary signs resolve 1–12 months; early latent = acquired within preceding year","Authoritative source for engine clinical constants (incubation periods; lesion window durations); citing this confirms engine parameters are grounded in current federal guidance not ad hoc assumptions","methods-positioning; background","Secondary syphilis typically begins 2–24 weeks after most primary lesions heal; chancres persist 2–6 weeks before healing spontaneously",,FALSE,TRUE,FALSE,High,Included,To abstract,"syphilis; natural-history; clinical-constants; CDC; guidelines; methods-positioning","Syphilis section in STI-specific treatment chapter; 187 pp total; free full text at CDC and PMC"
2026-06-07,PubMed,B6-CIG-Temporal-Reasoning,"Peleg comparing computer-interpretable guideline models case study JAMIA 2003","English",1,peleg_2003_comparing_cig_models,Comparing Computer-interpretable Guideline Models: A Case-study Approach,"Peleg M, Tu S, Bury J, Ciccarese P, Fox J, Greenes RA, Hall R, Johnson PD, Jones N, Kumar A, Miksch S, Quaglini S, Seyfang A, Shortliffe EH, Stefanelli M",2003,Journal of the American Medical Informatics Association,"https://doi.org/10.1197/jamia.M1135 | PMID:12509357 | PMCID:PMC150359",Journal,B — PHI/Decision Support,Methods / Evaluation,Clinical decision support / CIG formalization,,,"All 6 CIG models can specify start-time constraints; models differ substantially on end-time and duration constraints; GELLO proposed as standardized expression language","Definitive comparative study of CIG formalisms (Asbru GLIF EON GUIDE PRODIGY PRO_forma); directly positions VCA engine as implementing temporal constraint network logic for syphilis lesion windows — the same design challenge these formalisms address",methods-positioning,"All of the models can specify constraints on the start times of guideline plan components. The models differ in their abilities to specify constraints on end time and duration.",,FALSE,TRUE,FALSE,High,Included,To abstract,"temporal-reasoning; CIG; decision-support; Asbru; GLIF; methods-positioning","Open access PMC; ~800+ citations; canonical CIG model comparison paper"
2026-06-07,PubMed,B7-Temporal-Clinical-Review,"temporal data representation normalization extraction reasoning clinical domain 2016","English",1,madkour_2016_temporal_data_clinical,Temporal Data Representation Normalization Extraction and Reasoning: A Review from Clinical Domain,"Madkour M, Benhaddou D, Tao C",2016,Computer Methods and Programs in Biomedicine,"https://doi.org/10.1016/j.cmpb.2016.02.007 | PMID:27040831 | PMCID:PMC4837648",Journal,B — PHI/Decision Support,Review,Clinical informatics / temporal reasoning,,,"Allen's interval algebra underlies most rule-based temporal constraint systems; GLARE and CIG verification frameworks depend on temporal constraint propagation; standardized models (HL7 V3 QDM OpenEHR) still inadequate for unstructured narrative","2016 systematic review of temporal reasoning in clinical informatics; documents Allen's interval algebra as foundation of rule-based temporal systems — the same mathematical underpinning as VCA engine's overlap detection; suitable as secondary citation alongside Peleg 2003","methods-positioning; background","Temporal reasoning and interpretation will confront additional challenges as reasoning about time requires so-called 'common knowledge' which can be notoriously difficult to establish.",,FALSE,TRUE,FALSE,Medium,Included,To abstract,"temporal-reasoning; Allen-interval-algebra; clinical-informatics; methods-positioning","Open access PMC; covers 2005–2015 literature; use as secondary to Peleg 2003"
2026-06-07,"PubMed / Annual Review BDS",B8-Electronic-Phenotyping,"Banda advances electronic phenotyping rule-based machine learning 2018","English",1,banda_2018_electronic_phenotyping,Advances in Electronic Phenotyping: From Rule-Based Definitions to Machine Learning Models,"Banda JM, Seneviratne M, Hernandez-Boussard T, Shah NH",2018,Annual Review of Biomedical Data Science,"https://doi.org/10.1146/annurev-biodatasci-080917-013315 | PMID:31218278 | PMCID:PMC6583807",Journal,B — PHI/Decision Support,Review,Computable phenotyping / EHR,,,"Rule-based phenotyping uses clinician-specified inclusion/exclusion criteria on structured data; achieves >95% sensitivity/specificity for conditions with clear structured criteria; multimodal multi-criterion queries outperform single-element lookups","Establishes rule-based phenotyping as field's foundation; characterizes when deterministic rule sets outperform ML (conditions with well-defined structured criteria = exactly the syphilis transmission scenario); positions VCA engine within computable phenotyping literature","methods-positioning; comparison","Rule-based phenotyping involves one or more clinicians specifying inclusion and exclusion criteria based on structured data elements such as diagnosis codes, medications, procedures, and lab values.",,FALSE,TRUE,FALSE,High,Included,To abstract,"computable-phenotyping; rule-based; EHR; decision-support; comparison; methods-positioning","Open access PMC; inaugural volume of Annual Review of Biomedical Data Science pp 53–68"
2026-06-07,PubMed,B9-EHR-Phenotyping-NIH,"Richesson EHR phenotyping NIH collaboratory clinical trials JAMIA 2013","English",1,richesson_2013_ehr_phenotyping_collaboratory,Electronic Health Records Based Phenotyping in Next-Generation Clinical Trials: A Perspective from the NIH Health Care Systems Collaboratory,"Richesson RL, Hammond WE, Nahm M, et al.",2013,Journal of the American Medical Informatics Association,"https://doi.org/10.1136/amiajnl-2013-001926 | PMID: see JAMIA 2013;20(e2):e226–e231",Journal,B — PHI/Decision Support,Commentary / Methods,EHR / clinical research,,,"Computable phenotype = clinical condition ascertained by computerized query using defined data elements and logical expressions; identifies phenotype definition and cross-site validation as key gaps; frames EHR phenotyping as essential surveillance infrastructure","Provides clean definitional anchor for describing what the VCA engine does in public health informatics terms; NIH Collaboratory framing connects engine to broader pragmatic informatics infrastructure for surveillance systems","problem-framing; background","A computable phenotype is a clinical condition or characteristic ascertained by computerized query to an EHR system using defined data elements and logical expressions.",,TRUE,TRUE,FALSE,Medium,Included,To abstract,"computable-phenotyping; EHR; NIH; rule-based; background","Published in JAMIA supplemental issue 20:e2; full text may require institutional access"
2026-06-07,"HL7 / ONC (web fetch)",D5-FHIR-RiskAssessment,"FHIR R4 RiskAssessment resource definition structure fields","Standard",1,hl7_2019_fhir_r4_riskassessment,RiskAssessment — FHIR R4 Resource Definition,"HL7 International (FHIR Core Team)",2019,HL7 FHIR Release 4 Specification,https://hl7.org/fhir/R4/riskassessment.html,Standard,D — FHIR/Interoperability,Standard,FHIR resource definition,,,"prediction element supports multiple outcomes (outcome; probability[x]; qualitativeRisk; relativeRisk; rationale); basis element references source observations; method encodes algorithm used — together support full provenance for VCA outputs","Strong fit for VCA engine outputs: prediction.outcome encodes Source/Spread verdict; qualitativeRisk encodes tier (Plausible/Indeterminate/Implausible); rationale carries criteria narrative; basis references underlying Observations (labs symptoms exposure dates); gap: probability[x] expects decimal not ordinal tier score — needs extension or mapping convention","interoperability-context","Captures predicted outcomes for a patient or population on the basis of source information — covering the core output structure of the VCA engine.",,FALSE,FALSE,TRUE,High,Included,To abstract,"FHIR; RiskAssessment; interoperability; standard; interoperability-context","FHIR R4 is current stable normative version; canonical resource URL: http://hl7.org/fhir/StructureDefinition/RiskAssessment; cite with access date; R5 published 2023 but R4 is correct citation for current EHR integration"
